run_id,condition_key,group,label,state,created_at,max_step,best_train_bpb,last_train_bpb,final_val_bpb_exact,final_quant_bpb,total_submission_bytes,total_submission_mb,limit_status,over_budget,quant_method,quant_bytes,raw_model_bytes,delta_vs_baseline,n_val_pts,baseline_bpb,log_raw_model_bytes_all,log_serialized_quant_all,log_total_submission_all,log_limit_status_all,log_final_exact_all,log_final_fast_all,log_peak_mem_all,quant_payload_bytes,quant_raw_torch_bytes,quant_ratio,total_submission_method,final_method,final_val_loss_exact,final_eval_time_ms,peak_alloc_mib,peak_reserved_mib,summary.final/val_bpb,summary.final/val_loss,summary.quant_bits,summary.step,summary.train/loss,summary.val/bpb,summary.val/loss,cfg.seed,cfg.embed_lr,cfg.mlp_mult,cfg.n_params,cfg.matrix_lr,cfg.model_dim,cfg.num_heads,cfg.iterations,cfg.num_layers,cfg.quant_bits,cfg.vocab_size,cfg.qat_enabled,cfg.num_kv_heads,cfg.late_qat_frac,cfg.train_batch_tokens,summary.pos_enc,cfg.pos_enc,cfg.rope_dims,limit_bytes,summary.optimizer_type,cfg.adamw_lr,cfg.adamw_wd,cfg.adafactor_lr,cfg.optimizer_type,cfg.param_rank,cfg.param_seed,cfg.param_style,cfg.param_groups,summary.param_style,cfg.sliding_eval_stride
o2_part_lr080_wu1000_20k,o2_part_lr080_wu1000,O10_hpsweep,"Partial RoPE (LR=0.08, warmup=1000)",finished,2026-04-29T23:41:11Z,20000,1.20852848481922,1.20852848481922,1.21747352,1.217473522963848,15884698.0,15.884698,,,,,67224578.0,-0.006926477036151901,41,1.2244,[67224578],[],"[{""method"": ""int8_ptq+zlib"", ""bytes"": 15884698}]",[],"[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.05565305, ""val_bpb"": 1.21747352}]","[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.0557, ""val_bpb"": 1.2175, ""eval_time_ms"": 25304}]","[{""allocated_mib"": 10285, ""reserved_mib"": 10360}]",,,,int8_ptq+zlib,int8_ptq_zlib,2.05565305,25304.0,10285.0,10360.0,1.217473522963848,2.0556530456312454,8.0,20000,2.056358337402344,1.20852848481922,2.0405497234164605,1337,0.6,2,17059912,0.08,512,8,20000,9,8.0,1024,True,4,0.1,524288,,partial,32.0,,,,,,,128.0,20260418.0,dense,4.0,dense,0.0
o2_part_lr080_wu2000_20k,o2_part_lr080_wu2000,O10_hpsweep,"Partial RoPE (LR=0.08, warmup=2000)",finished,2026-04-30T04:14:10Z,20000,1.2088198586466326,1.2088198586466326,1.21736687,1.2173668742378858,15889147.0,15.889147,,,,,67224578.0,-0.007033125762114123,41,1.2244,[67224578],[],"[{""method"": ""int8_ptq+zlib"", ""bytes"": 15889147}]",[],"[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.05547297, ""val_bpb"": 1.21736687}]","[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.0555, ""val_bpb"": 1.2174, ""eval_time_ms"": 25201}]","[{""allocated_mib"": 10285, ""reserved_mib"": 10360}]",,,,int8_ptq+zlib,int8_ptq_zlib,2.05547297,25201.0,10285.0,10360.0,1.2173668742378858,2.055472973724791,8.0,20000,2.0570008754730225,1.2088198586466326,2.041041695918893,1337,0.6,2,17059912,0.08,512,8,20000,9,8.0,1024,True,4,0.1,524288,,partial,32.0,,,,,,,128.0,20260418.0,dense,4.0,dense,0.0
o2_part_lr080_wu3000_20k,o2_part_lr080_wu3000,O10_hpsweep,"Partial RoPE (LR=0.08, warmup=3000)",finished,2026-04-30T08:58:39Z,20000,1.2092705378517548,1.2092705378517548,1.218066,1.218066000678756,15897143.0,15.897143,,,,,67224578.0,-0.006333999321243899,41,1.2244,[67224578],[],"[{""method"": ""int8_ptq+zlib"", ""bytes"": 15897143}]",[],"[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.05665342, ""val_bpb"": 1.218066}]","[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.0567, ""val_bpb"": 1.2181, ""eval_time_ms"": 25223}]","[{""allocated_mib"": 10285, ""reserved_mib"": 10360}]",,,,int8_ptq+zlib,int8_ptq_zlib,2.05665342,25223.0,10285.0,10360.0,1.218066000678756,2.056653419434985,8.0,20000,2.0590951442718506,1.2092705378517548,2.0418026488785572,1337,0.6,2,17059912,0.08,512,8,20000,9,8.0,1024,True,4,0.1,524288,,partial,32.0,,,,,,,128.0,20260418.0,dense,4.0,dense,0.0
o2_part_s123_20k,o2_part,O2_posenc,Partial RoPE,finished,2026-04-27T10:08:42Z,20000,1.2084403221774265,1.2084403221774265,1.21696369,1.2169636860531592,15873142.0,15.873142,,,,,,-0.007436313946840745,41,1.2244,[],[],"[{""method"": ""int8+zlib"", ""bytes"": 15873142}]",[],"[{""method"": ""int8_zlib"", ""val_loss"": 2.05479221, ""val_bpb"": 1.21696369}]","[{""method"": ""int8_zlib"", ""val_loss"": 2.0548, ""val_bpb"": 1.217, ""eval_time_ms"": 25222}]","[{""allocated_mib"": 10285, ""reserved_mib"": 10372}]",,,,int8+zlib,int8_zlib,2.05479221,25222.0,10285.0,10372.0,1.2169636860531592,2.0547922073637475,,20000,2.0585830211639404,1.2084403221774265,2.0404008644887752,123,0.6,2,17059912,0.04,512,8,20000,9,,1024,,4,,524288,partial,partial,32.0,,,,,,,,,,,,
o2_part_s42_20k,o2_part,O2_posenc,Partial RoPE,finished,2026-04-27T05:47:37Z,20000,1.2078242585002563,1.2078242585002563,1.21616834,1.216168335262954,15880770.0,15.88077,,,,,,-0.008231664737045952,41,1.2244,[],[],"[{""method"": ""int8+zlib"", ""bytes"": 15880770}]",[],"[{""method"": ""int8_zlib"", ""val_loss"": 2.05344929, ""val_bpb"": 1.21616834}]","[{""method"": ""int8_zlib"", ""val_loss"": 2.0534, ""val_bpb"": 1.2162, ""eval_time_ms"": 25078}]","[{""allocated_mib"": 10311, ""reserved_mib"": 10532}]",,,,int8+zlib,int8_zlib,2.05344929,25078.0,10311.0,10532.0,1.216168335262954,2.0534492908703763,,20000,2.0569941997528076,1.2078242585002563,2.039360666775732,42,0.6,2,17059912,0.04,512,8,20000,9,,1024,,4,,524288,partial,partial,32.0,,,,,,,,,,,,
o2_partial_s1337,o2_part,O2_posenc,Partial RoPE,finished,2026-04-17T03:33:47Z,5000,1.2537603568282054,1.2537603568282054,1.25809451,1.2580945144835378,15853345.0,15.853345,,,,,,0.033694514483537885,11,1.2244,[],[],"[{""method"": ""int8+zlib"", ""bytes"": 15853345}]",[],"[{""method"": ""int8_zlib"", ""val_loss"": 2.12423989, ""val_bpb"": 1.25809451}]","[{""method"": ""int8_zlib"", ""val_loss"": 2.1242, ""val_bpb"": 1.2581, ""eval_time_ms"": 25237}]","[{""allocated_mib"": 10220, ""reserved_mib"": 10508}]",,,,int8+zlib,int8_zlib,2.12423989,25237.0,10220.0,10508.0,1.2580945144835378,2.124239888268061,,5000,2.1917595863342285,1.2537603568282054,2.116921844617518,1337,0.6,2,17059912,0.04,512,8,5000,9,,1024,,4,,524288,partial,partial,32.0,,,,,,,,,,,,
o2_rope_20k,o2_rope,O2_posenc,"RoPE (full, baseline)",finished,2026-04-20T00:28:18Z,20000,1.208521798185665,1.208521798185665,1.21737051,1.2173705058208262,15875466.0,15.875466,,,,,,-0.007029494179173756,41,1.2244,[],[],"[{""method"": ""int8+zlib"", ""bytes"": 15875466}]",[],"[{""method"": ""int8_zlib"", ""val_loss"": 2.05547911, ""val_bpb"": 1.21737051}]","[{""method"": ""int8_zlib"", ""val_loss"": 2.0555, ""val_bpb"": 1.2174, ""eval_time_ms"": 25158}]","[{""allocated_mib"": 10312, ""reserved_mib"": 10500}]",,,,int8+zlib,int8_zlib,2.05547911,25158.0,10312.0,10500.0,1.2173705058208262,2.0554791055004658,,20000,2.0587077140808105,1.208521798185665,2.0405384333157945,1337,0.6,2,17059912,0.04,512,8,20000,9,,1024,,4,,524288,rope,rope,32.0,,,,,,,,,,,,
o2_rope_20k,o2_rope,O2_posenc,"RoPE (full, baseline)",crashed,2026-04-19T04:11:10Z,10500,1.2489731010246563,1.2489731010246563,,,,,,,,,,0.024573101024656374,22,1.2244,,,,,,,,,,,,,,,,,,,,10800,2.157402992248535,1.2489731010246563,2.108838763723221,1337,0.6,2,17059912,0.04,512,8,20000,9,,1024,,4,,524288,,rope,32.0,,,,,,,,,,,,
o2_rope_s1337,o2_rope,O2_posenc,"RoPE (full, baseline)",finished,2026-04-16T20:11:24Z,5000,1.253526678593934,1.253526678593934,1.25823955,1.25823955365165,15847761.0,15.847761,,,,,,0.033839553651650034,11,1.2244,[],[],"[{""method"": ""int8+zlib"", ""bytes"": 15847761}]",[],"[{""method"": ""int8_zlib"", ""val_loss"": 2.12448478, ""val_bpb"": 1.25823955}]","[{""method"": ""int8_zlib"", ""val_loss"": 2.1245, ""val_bpb"": 1.2582, ""eval_time_ms"": 24288}]","[{""allocated_mib"": 10221, ""reserved_mib"": 10510}]",,,,int8+zlib,int8_zlib,2.12448478,24288.0,10221.0,10510.0,1.25823955365165,2.1244847808279745,,5000,2.1918411254882812,1.253526678593934,2.1165272887073345,1337,0.6,2,17059912,0.04,512,8,5000,9,,1024,,4,,524288,rope,rope,32.0,,,,,,,,,,,,
o3_adaf_s1337,o3_adaf,O3_optim,Adafactor,finished,2026-04-17T06:48:02Z,5000,1.4878635566496188,1.4878635566496188,1.48953522,1.4895352175655594,14892674.0,14.892674,,,,,,0.26513521756555947,11,1.2244,[],[],"[{""method"": ""int8+zlib"", ""bytes"": 14892674}]",[],"[{""method"": ""int8_zlib"", ""val_loss"": 2.51501782, ""val_bpb"": 1.48953522}]","[{""method"": ""int8_zlib"", ""val_loss"": 2.515, ""val_bpb"": 1.4895, ""eval_time_ms"": 24071}]","[{""allocated_mib"": 10187, ""reserved_mib"": 10494}]",,,,int8+zlib,int8_zlib,2.51501782,24071.0,10187.0,10494.0,1.4895352175655594,2.5150178207650145,,5000,2.595754861831665,1.4878635566496188,2.5121952913314787,1337,,2,17059912,0.04,512,8,5000,9,,1024,,4,,524288,,,,,adafactor,0.0003,0.1,0.01,adafactor,,,,,,
o3_adamw_s1337,o3_adamw,O3_optim,AdamW,finished,2026-04-17T05:45:03Z,5000,1.4065493650532688,1.4065493650532688,1.44092209,1.4409220880720262,8721075.0,8.721075,,,,,,0.21652208807202622,11,1.2244,[],[],"[{""method"": ""int8+zlib"", ""bytes"": 8721075}]",[],"[{""method"": ""int8_zlib"", ""val_loss"": 2.43293659, ""val_bpb"": 1.44092209}]","[{""method"": ""int8_zlib"", ""val_loss"": 2.4329, ""val_bpb"": 1.4409, ""eval_time_ms"": 24028}]","[{""allocated_mib"": 10316, ""reserved_mib"": 10550}]",,,,int8+zlib,int8_zlib,2.43293659,24028.0,10316.0,10550.0,1.4409220880720262,2.4329365879364175,,5000,2.452975273132324,1.4065493650532688,2.374899684934096,1337,,2,17059912,0.04,512,8,5000,9,,1024,,4,,524288,,,,,adamw,0.0003,0.1,0.01,adamw,,,,,,
o3_muon_20k,o3_muon,O3_optim,Muon (baseline),finished,2026-04-19T15:40:59Z,20000,1.2089099098738167,1.2089099098738167,1.21681203,1.2168120349617784,15876864.0,15.876864,,,,,,-0.007587965038221567,41,1.2244,[],[],"[{""method"": ""int8+zlib"", ""bytes"": 15876864}]",[],"[{""method"": ""int8_zlib"", ""val_loss"": 2.05453615, ""val_bpb"": 1.21681203}]","[{""method"": ""int8_zlib"", ""val_loss"": 2.0545, ""val_bpb"": 1.2168, ""eval_time_ms"": 25127}]","[{""allocated_mib"": 10312, ""reserved_mib"": 10500}]",,,,int8+zlib,int8_zlib,2.05453615,25127.0,10312.0,10500.0,1.2168120349617784,2.054536150848357,,20000,2.0582284927368164,1.2089099098738167,2.041193743643901,1337,,2,17059912,0.04,512,8,20000,9,,1024,,4,,524288,,,,,muon,0.0003,0.1,0.01,muon,,,,,,
o3_muon_s123_20k,o3_muon,O3_optim,Muon (baseline),finished,2026-04-28T11:46:49Z,20000,1.2116568613857859,1.2116568613857859,1.21959686,1.21959686187513,15872118.0,15.872118,,,,,,-0.004803138124869877,41,1.2244,[],[],"[{""method"": ""int8+zlib"", ""bytes"": 15872118}]",[],"[{""method"": ""int8_zlib"", ""val_loss"": 2.05923821, ""val_bpb"": 1.21959686}]","[{""method"": ""int8_zlib"", ""val_loss"": 2.0592, ""val_bpb"": 1.2196, ""eval_time_ms"": 25155}]","[{""allocated_mib"": 10286, ""reserved_mib"": 10552}]",,,,int8+zlib,int8_zlib,2.05923821,25155.0,10286.0,10552.0,1.21959686187513,2.059238214439893,,20000,2.0626840591430664,1.211656861385786,2.0458318562067386,123,,2,17059912,0.04,512,8,20000,9,,1024,,4,,524288,,,,,muon,0.0003,0.1,0.01,muon,,,,,,
o3_muon_s1337,o3_muon,O3_optim,Muon (baseline),finished,2026-04-17T04:40:57Z,5000,1.2543056220858226,1.2543056220858226,1.25897627,1.2589762705755514,15851340.0,15.85134,,,,,,0.03457627057555146,11,1.2244,[],[],"[{""method"": ""int8+zlib"", ""bytes"": 15851340}]",[],"[{""method"": ""int8_zlib"", ""val_loss"": 2.1257287, ""val_bpb"": 1.25897627}]","[{""method"": ""int8_zlib"", ""val_loss"": 2.1257, ""val_bpb"": 1.259, ""eval_time_ms"": 24295}]","[{""allocated_mib"": 10221, ""reserved_mib"": 10510}]",,,,int8+zlib,int8_zlib,2.1257287,24295.0,10221.0,10510.0,1.2589762705755514,2.1257286964941646,,5000,2.1909327507019043,1.2543056220858226,2.1178425021647715,1337,,2,17059912,0.04,512,8,5000,9,,1024,,4,,524288,,,,,muon,0.0003,0.1,0.01,muon,,,,,,
o3_muon_s42_20k,o3_muon,O3_optim,Muon (baseline),finished,2026-04-28T07:32:05Z,20000,1.2084594231119101,1.2084594231119101,1.21713253,1.2171325299149964,15871545.0,15.871545,,,,,,-0.007267470085003502,41,1.2244,[],[],"[{""method"": ""int8+zlib"", ""bytes"": 15871545}]",[],"[{""method"": ""int8_zlib"", ""val_loss"": 2.05507729, ""val_bpb"": 1.21713253}]","[{""method"": ""int8_zlib"", ""val_loss"": 2.0551, ""val_bpb"": 1.2171, ""eval_time_ms"": 24781}]","[{""allocated_mib"": 10286, ""reserved_mib"": 10360}]",,,,int8+zlib,int8_zlib,2.05507729,24781.0,10286.0,10360.0,1.2171325299149964,2.0550772931518777,,20000,2.055997610092163,1.20845942311191,2.040433115616545,42,,2,17059912,0.04,512,8,20000,9,,1024,,4,,524288,,,,,muon,0.0003,0.1,0.01,muon,,,,,,
o4_bd4_20k,o4_bd4,O4_weightparam,Block-diag g=4,finished,2026-04-20T21:11:49Z,20000,1.3699755961447153,1.3699755961447153,1.38303373,1.3830337267258666,8298899.0,8.298899,,,,,,0.15863372672586662,41,1.2244,[],[],"[{""method"": ""int8_ptq+zlib"", ""bytes"": 8298899}]",[],"[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.33519451, ""val_bpb"": 1.38303373}]","[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.3352, ""val_bpb"": 1.383, ""eval_time_ms"": 20112}]","[{""allocated_mib"": 10640, ""reserved_mib"": 10800}]",,,,int8_ptq+zlib,int8_ptq_zlib,2.33519451,20112.0,10640.0,10800.0,1.3830337267258666,2.335194514648333,8.0,20000,2.330369710922241,1.369975596144715,2.3131464081449185,1337,0.6,2,4673608,0.04,512,8,20000,9,8.0,1024,True,4,0.1,524288,,,,,,,,,,128.0,20260418.0,blockdiag,4.0,blockdiag,
o4_dense_20k,o4_dense,O4_weightparam,Dense (O4 baseline),crashed,2026-04-20T13:39:45Z,0,4.106944294194635,4.106944294194635,,,,,,,,,,2.882544294194635,1,1.2244,,,,,,,,,,,,,,,,,,,,200,2.786734819412231,4.106944294194635,6.934403407842948,1337,0.6,2,17059912,0.04,512,8,20000,9,8.0,1024,True,4,0.1,524288,,,,,,,,,,128.0,20260418.0,dense,4.0,,
o4_lr128_20k,o4_lr128,O4_weightparam,Low-rank r=128,finished,2026-04-20T13:48:07Z,20000,1.291544594647692,1.291544594647692,1.30136887,1.3013688681360593,12702492.0,12.702492,,,,,,0.07696886813605941,41,1.2244,[],[],"[{""method"": ""int8_ptq+zlib"", ""bytes"": 12702492}]",[],"[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.19730682, ""val_bpb"": 1.30136887}]","[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.1973, ""val_bpb"": 1.3014, ""eval_time_ms"": 22604}]","[{""allocated_mib"": 11091, ""reserved_mib"": 11288}]",,,,int8_ptq+zlib,int8_ptq_zlib,2.19730682,22604.0,11091.0,11288.0,1.3013688681360591,2.197306821721341,8.0,20000,2.197360038757324,1.291544594647692,2.180718947458324,1337,0.6,2,8212552,0.04,512,8,20000,9,8.0,1024,True,4,0.1,524288,,,,,,,,,,128.0,20260418.0,lowrank,4.0,lowrank,
o4_rp128_12L_20k,o4_rp128,O4_weightparam,RandProj k=128,finished,2026-04-21T06:16:08Z,20000,1.347189212543737,1.347189212543737,1.36011734,1.3601173365494594,9408086.0,9.408086,,,,,,0.1357173365494595,41,1.2244,[],[],"[{""method"": ""int8_ptq+zlib"", ""bytes"": 9408086}]",[],"[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.29650115, ""val_bpb"": 1.36011734}]","[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.2965, ""val_bpb"": 1.3601, ""eval_time_ms"": 29896}]","[{""allocated_mib"": 14074, ""reserved_mib"": 14248}]",,,,int8_ptq+zlib,int8_ptq_zlib,2.29650115,29896.0,14074.0,14248.0,1.3601173365494594,2.2965011497640404,8.0,20000,2.2909953594207764,1.347189212543737,2.2746725539174832,1337,0.6,2,6057056,0.04,512,8,20000,12,8.0,1024,True,4,0.1,524288,,,,,,,,,,128.0,20260418.0,randproj,4.0,randproj,
o4_rp128_20k,o4_rp128,O4_weightparam,RandProj k=128,finished,2026-04-20T17:39:29Z,20000,1.3838170593806218,1.3838170593806218,1.39581739,1.3958173881564178,7189095.0,7.189095,,,,,,0.17141738815641783,41,1.2244,[],[],"[{""method"": ""int8_ptq+zlib"", ""bytes"": 7189095}]",[],"[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.35677919, ""val_bpb"": 1.39581739}]","[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.3568, ""val_bpb"": 1.3958, ""eval_time_ms"": 22251}]","[{""allocated_mib"": 10676, ""reserved_mib"": 10840}]",,,,int8_ptq+zlib,int8_ptq_zlib,2.35677919,22251.0,10676.0,10840.0,1.3958173881564178,2.3567791914880045,8.0,20000,2.351883888244629,1.3838170593806218,2.3365171390234156,1337,0.6,2,4673608,0.04,512,8,20000,9,8.0,1024,True,4,0.1,524288,,,,,,,,,,128.0,20260418.0,randproj,4.0,randproj,
o8_qk3p0_20k,o8_qk3p0,O8_qkgain,QK-Gain=3.0,finished,2026-04-24T14:37:43Z,20000,1.2064627465360667,1.2064627465360667,1.2153656,1.2153656036438785,15906279.0,15.906279,,,,,67224578.0,-0.009034396356121466,41,1.2244,[67224578],[],"[{""method"": ""int8_ptq+zlib"", ""bytes"": 15906279}]",[],"[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.05209391, ""val_bpb"": 1.2153656}]","[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.0521, ""val_bpb"": 1.2154, ""eval_time_ms"": 25334}]","[{""allocated_mib"": 10311, ""reserved_mib"": 10532}]",,,,int8_ptq+zlib,int8_ptq_zlib,2.05209391,25334.0,10311.0,10532.0,1.2153656036438785,2.0520939121566286,8.0,20000,2.056091785430908,1.2064627465360669,2.037061810855616,1337,0.6,2,17059912,0.04,512,8,20000,9,8.0,1024,True,4,0.1,524288,,partial,32.0,,,,,,,128.0,20260418.0,dense,4.0,dense,0.0
o8_qk5p0_20k,o8_qk5p0,O8_qkgain,QK-Gain=5.0,finished,2026-04-24T19:00:49Z,20000,1.208305178818711,1.208305178818711,1.21649058,1.2164905767993306,15905962.0,15.905962,,,,,67224578.0,-0.007909423200669341,41,1.2244,[67224578],[],"[{""method"": ""int8_ptq+zlib"", ""bytes"": 15905962}]",[],"[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.05399338, ""val_bpb"": 1.21649058}]","[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.054, ""val_bpb"": 1.2165, ""eval_time_ms"": 25192}]","[{""allocated_mib"": 10285, ""reserved_mib"": 10360}]",,,,int8_ptq+zlib,int8_ptq_zlib,2.05399338,25192.0,10285.0,10360.0,1.2164905767993306,2.053993382206399,8.0,20000,2.0584349632263184,1.208305178818711,2.040172680588509,1337,0.6,2,17059912,0.04,512,8,20000,9,8.0,1024,True,4,0.1,524288,,partial,32.0,,,,,,,128.0,20260418.0,dense,4.0,dense,0.0
stacked_int8_safe_11L_mlp2_20k,stacked_int8_safe_11L_mlp2,O5_stacked,Partial RoPE + INT8 + 11L + MLP=2 (hedge),finished,2026-04-23T20:12:19Z,20000,1.1868817154076363,1.1868817154076363,1.19439786,1.1943978556702972,19303447.0,19.303447,OVER,True,,,81930402.0,-0.030002144329702718,41,1.2244,[81930402],[],"[{""method"": ""int8_ptq+zlib"", ""bytes"": 19303447}]","[{""limit_bytes"": 16000000, ""status"": ""OVER""}]","[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.01669075, ""val_bpb"": 1.19439786}]","[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.0167, ""val_bpb"": 1.1944, ""eval_time_ms"": 30321}]","[{""allocated_mib"": 12342, ""reserved_mib"": 12544}]",,,,int8_ptq+zlib,int8_ptq_zlib,2.01669075,30321.0,12342.0,12544.0,1.1943978556702972,2.016690748006503,8.0,20000,2.023212194442749,1.1868817154076363,2.00400006001132,1337,0.6,2,20734552,0.04,512,8,20000,11,8.0,1024,True,4,0.1,524288,,partial,32.0,16000000.0,,,,,,128.0,20260418.0,dense,4.0,dense,0.0
stacked_int8_safe_11L_mlp2_slide256_20k,stacked_int8_safe_11L_mlp2_slide256,O5_stacked,Partial RoPE + INT8 + 11L + MLP=2 + slide256,finished,2026-04-24T08:14:54Z,20000,1.1523587785883067,1.1523587785883067,1.15987925,1.1598792493619816,19301471.0,19.301471,OVER,True,,,81930402.0,-0.06452075063801832,41,1.2244,[81930402],[],"[{""method"": ""int8_ptq+zlib"", ""bytes"": 19301471}]","[{""limit_bytes"": 16000000, ""status"": ""OVER""}]","[{""method"": ""int8_ptq_zlib"", ""val_loss"": 1.95840749, ""val_bpb"": 1.15987925}]","[{""method"": ""int8_ptq_zlib"", ""val_loss"": 1.9584, ""val_bpb"": 1.1599, ""eval_time_ms"": 126176}]","[{""allocated_mib"": 12335, ""reserved_mib"": 12384}]",,,,int8_ptq+zlib,int8_ptq_zlib,1.95840749,126176.0,12335.0,12384.0,1.1598792493619816,1.9584074882925024,8.0,20000,2.02123498916626,1.1523587785883067,1.945709488663014,1337,0.6,2,20734552,0.04,512,8,20000,11,8.0,1024,True,4,0.1,524288,,partial,32.0,16000000.0,,,,,,128.0,20260418.0,dense,4.0,dense,256.0
stacked_tq4_big_11L_mlp3_20k_v2,stacked_tq4_big_11L_mlp3,O5_stacked,Partial RoPE + TQ4 + 11L + MLP=3,finished,2026-04-23T14:22:12Z,20000,1.1612214033488872,1.1612214033488872,3.59906425,3.599064248474712,12914344.0,12.914344,,,,,104999074.0,2.374664248474712,41,1.2244,[104999074],[],"[{""method"": ""tq4_turboquant+zlib"", ""bytes"": 12914344}]",[],"[{""method"": ""tq4_turboquant_zlib"", ""val_loss"": 6.07686922, ""val_bpb"": 3.59906425}]","[{""method"": ""tq4_turboquant_zlib"", ""val_loss"": 6.0769, ""val_bpb"": 3.5991, ""eval_time_ms"": 34867}]","[{""allocated_mib"": 13970, ""reserved_mib"": 14068}]",,,,tq4_turboquant+zlib,tq4_turboquant_zlib,6.07686922,34867.0,13970.0,14068.0,3.599064248474712,6.076869224875343,4.0,20000,1.977707862854004,1.1612214033488872,1.9606736979669095,1337,0.6,3,26501720,0.04,512,8,20000,11,4.0,1024,True,4,0.1,524288,,partial,32.0,,,,,,,128.0,20260418.0,dense,4.0,dense,0.0
stacked_v1_pr_int6_11L_mlp3_20k,stacked_v1_pr_int6_11L_mlp3,O5_stacked,Partial RoPE + INT6 + 11L + MLP=3,finished,2026-04-21T13:27:24Z,20000,1.1613539084641966,1.1613539084641966,1.28159367,1.2815936729052104,18515011.0,18.515011,OVER,True,,,,0.05719367290521049,41,1.2244,[],[],"[{""method"": ""int6_qat+zlib"", ""bytes"": 18515011}]","[{""limit_bytes"": 16000000, ""status"": ""OVER""}]","[{""method"": ""int6_qat_zlib"", ""val_loss"": 2.16391723, ""val_bpb"": 1.28159367}]","[{""method"": ""int6_qat_zlib"", ""val_loss"": 2.1639, ""val_bpb"": 1.2816, ""eval_time_ms"": 34905}]","[{""allocated_mib"": 14063, ""reserved_mib"": 14296}]",,,,int6_qat+zlib,int6_qat_zlib,2.16391723,34905.0,14063.0,14296.0,1.2815936729052104,2.163917232923315,6.0,20000,1.977989196777344,1.1613539084641966,1.9608974273036957,1337,0.6,3,26501720,0.04,512,8,20000,11,6.0,1024,True,4,0.1,524288,,partial,32.0,16000000.0,,,,,,128.0,20260418.0,dense,4.0,dense,0.0
stacked_v1_pr_int6_11L_mlp3_20k_v2,stacked_v1_pr_int6_11L_mlp3,O5_stacked,Partial RoPE + INT6 + 11L + MLP=3,finished,2026-05-03T02:48:05Z,20000,1.1618124042359195,1.1618124042359195,1.28013273,1.2801327306284385,18515898.0,18.515898,OVER,True,,,104999074.0,0.05573273062843853,41,1.2244,[104999074],[],"[{""method"": ""int6_qat+zlib"", ""bytes"": 18515898}]","[{""limit_bytes"": 16000000, ""status"": ""OVER""}]","[{""method"": ""int6_qat_zlib"", ""val_loss"": 2.16145049, ""val_bpb"": 1.28013273}]","[{""method"": ""int6_qat_zlib"", ""val_loss"": 2.1615, ""val_bpb"": 1.2801, ""eval_time_ms"": 35286}]","[{""allocated_mib"": 14063, ""reserved_mib"": 14296}]",,,,int6_qat+zlib,int6_qat_zlib,2.16145049,35286.0,14063.0,14296.0,1.2801327306284385,2.16145049308537,6.0,20000,1.9775269031524656,1.1618124042359197,1.9616715782086425,1337,0.6,3,26501720,0.04,512,8,20000,11,6.0,1024,True,4,0.1,524288,,partial,32.0,16000000.0,,,,,,128.0,20260418.0,dense,4.0,dense,0.0
