run_id,condition_key,group,label,state,created_at,max_step,best_train_bpb,last_train_bpb,final_val_bpb_exact,final_quant_bpb,total_submission_bytes,total_submission_mb,limit_status,over_budget,quant_method,quant_bytes,raw_model_bytes,delta_vs_baseline,n_val_pts,baseline_bpb,log_raw_model_bytes_all,log_serialized_quant_all,log_total_submission_all,log_limit_status_all,log_final_exact_all,log_final_fast_all,log_peak_mem_all,quant_payload_bytes,quant_raw_torch_bytes,quant_ratio,total_submission_method,final_method,final_val_loss_exact,final_eval_time_ms,peak_alloc_mib,peak_reserved_mib,summary.final/val_bpb,summary.final/val_loss,summary.quant_bits,summary.step,summary.train/loss,summary.val/bpb,summary.val/loss,cfg.seed,cfg.embed_lr,cfg.mlp_mult,cfg.n_params,cfg.matrix_lr,cfg.model_dim,cfg.num_heads,cfg.iterations,cfg.num_layers,cfg.quant_bits,cfg.vocab_size,cfg.qat_enabled,cfg.num_kv_heads,cfg.late_qat_frac,cfg.train_batch_tokens,summary.pos_enc,cfg.pos_enc,cfg.rope_dims,limit_bytes,summary.optimizer_type,cfg.adamw_lr,cfg.adamw_wd,cfg.adafactor_lr,cfg.optimizer_type,cfg.param_rank,cfg.param_seed,cfg.param_style,cfg.param_groups,summary.param_style,cfg.sliding_eval_stride
o2_none_20k,o2_none,O2_posenc,No PE,finished,2026-04-20T09:03:11Z,20000,1.2589313501615773,1.2589313501615773,1.26899458,1.268994580259418,15665265.0,15.665265,,,,,,0.04459458025941809,41,1.2244,[],[],"[{""method"": ""int8+zlib"", ""bytes"": 15665265}]",[],"[{""method"": ""int8_zlib"", ""val_loss"": 2.14264419, ""val_bpb"": 1.26899458}]","[{""method"": ""int8_zlib"", ""val_loss"": 2.1426, ""val_bpb"": 1.269, ""eval_time_ms"": 23160}]","[{""allocated_mib"": 9159, ""reserved_mib"": 9380}]",,,,int8+zlib,int8_zlib,2.14264419,23160.0,9159.0,9380.0,1.268994580259418,2.1426441927454363,,20000,2.143376588821411,1.258931350161577,2.125652850256809,1337,0.6,2,17059912,0.04,512,8,20000,9,,1024,,4,,524288,none,none,32.0,,,,,,,,,,,,
o2_none_s1337,o2_none,O2_posenc,No PE,finished,2026-04-16T21:15:15Z,5000,1.3036382811508476,1.3036382811508476,1.308672,1.3086720028405314,15695462.0,15.695462,,,,,,0.08427200284053149,11,1.2244,[],[],"[{""method"": ""int8+zlib"", ""bytes"": 15695462}]",[],"[{""method"": ""int8_zlib"", ""val_loss"": 2.20963786, ""val_bpb"": 1.308672}]","[{""method"": ""int8_zlib"", ""val_loss"": 2.2096, ""val_bpb"": 1.3087, ""eval_time_ms"": 23856}]","[{""allocated_mib"": 9644, ""reserved_mib"": 9932}]",,,,int8+zlib,int8_zlib,2.20963786,23856.0,9644.0,9932.0,1.3086720028405314,2.2096378587539625,,5000,2.2810862064361572,1.3036382811508476,2.201138630534963,1337,0.6,2,17059912,0.04,512,8,5000,9,,1024,,4,,524288,none,none,32.0,,,,,,,,,,,,
o2_part_20k,o2_part,O2_posenc,Partial RoPE,finished,2026-04-19T20:03:53Z,20000,1.2070559636091076,1.2070559636091076,1.21474255,1.2147425468871607,15873352.0,15.873352,,,,,,-0.009657453112839276,41,1.2244,[],[],"[{""method"": ""int8+zlib"", ""bytes"": 15873352}]",[],"[{""method"": ""int8_zlib"", ""val_loss"": 2.05104191, ""val_bpb"": 1.21474255}]","[{""method"": ""int8_zlib"", ""val_loss"": 2.051, ""val_bpb"": 1.2147, ""eval_time_ms"": 25232}]","[{""allocated_mib"": 10285, ""reserved_mib"": 10520}]",,,,int8+zlib,int8_zlib,2.05104191,25232.0,10285.0,10520.0,1.2147425468871609,2.0510419069216974,,20000,2.0542843341827393,1.2070559636091076,2.0380634330345924,1337,0.6,2,17059912,0.04,512,8,20000,9,,1024,,4,,524288,partial,partial,32.0,,,,,,,,,,,,
o2_part_20k_v2,o2_part,O2_posenc,Partial RoPE,finished,2026-05-02T22:25:41Z,20000,1.206762275446056,1.206762275446056,1.21525299,1.2152529889590942,15870879.0,15.870879,,,,,,-0.009147011040905761,41,1.2244,[],[],"[{""method"": ""int8+zlib"", ""bytes"": 15870879}]",[],"[{""method"": ""int8_zlib"", ""val_loss"": 2.05190377, ""val_bpb"": 1.21525299}]","[{""method"": ""int8_zlib"", ""val_loss"": 2.0519, ""val_bpb"": 1.2153, ""eval_time_ms"": 25173}]","[{""allocated_mib"": 10311, ""reserved_mib"": 10532}]",,,,int8+zlib,int8_zlib,2.05190377,25173.0,10311.0,10532.0,1.2152529889590942,2.0519037669786075,,20000,2.054731845855713,1.206762275446056,2.037567552873377,1337,0.6,2,17059912,0.04,512,8,20000,9,,1024,,4,,524288,partial,partial,32.0,,,,,,,,,,,,
o2_part_lr020_wu1000_20k,o2_part_lr020_wu1000,O10_hpsweep,"Partial RoPE (LR=0.02, warmup=1000)",finished,2026-04-28T16:05:39Z,20000,1.2073554494125254,1.2073554494125254,1.21633244,1.2163324361243482,15909091.0,15.909091,,,,,67224578.0,-0.008067563875651773,41,1.2244,[67224578],[],"[{""method"": ""int8_ptq+zlib"", ""bytes"": 15909091}]",[],"[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.05372637, ""val_bpb"": 1.21633244}]","[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.0537, ""val_bpb"": 1.2163, ""eval_time_ms"": 25226}]","[{""allocated_mib"": 10285, ""reserved_mib"": 10360}]",,,,int8_ptq+zlib,int8_ptq_zlib,2.05372637,25226.0,10285.0,10360.0,1.2163324361243482,2.053726368300935,8.0,20000,2.0562667846679688,1.2073554494125254,2.038569102268713,1337,0.6,2,17059912,0.02,512,8,20000,9,8.0,1024,True,4,0.1,524288,,partial,32.0,,,,,,,128.0,20260418.0,dense,4.0,dense,0.0
o2_part_lr020_wu2000_20k,o2_part_lr020_wu2000,O10_hpsweep,"Partial RoPE (LR=0.02, warmup=2000)",finished,2026-04-29T04:46:38Z,20000,1.2073093629669576,1.2073093629669576,1.21621777,1.216217772182529,15911140.0,15.91114,,,,,67224578.0,-0.008182227817471022,41,1.2244,[67224578],[],"[{""method"": ""int8_ptq+zlib"", ""bytes"": 15911140}]",[],"[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.05353276, ""val_bpb"": 1.21621777}]","[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.0535, ""val_bpb"": 1.2162, ""eval_time_ms"": 24683}]","[{""allocated_mib"": 10311, ""reserved_mib"": 10532}]",,,,int8_ptq+zlib,int8_ptq_zlib,2.05353276,24683.0,10311.0,10532.0,1.216217772182529,2.0535327630382505,8.0,20000,2.0560595989227295,1.2073093629669576,2.0384912872358543,1337,0.6,2,17059912,0.02,512,8,20000,9,8.0,1024,True,4,0.1,524288,,partial,32.0,,,,,,,128.0,20260418.0,dense,4.0,dense,0.0
o2_part_lr020_wu3000_20k,o2_part_lr020_wu3000,O10_hpsweep,"Partial RoPE (LR=0.02, warmup=3000)",finished,2026-04-28T20:38:39Z,20000,1.2073637457839426,1.2073637457839426,1.21624186,1.2162418620090893,15909538.0,15.909538,,,,,67224578.0,-0.008158137990910586,41,1.2244,[67224578],[],"[{""method"": ""int8_ptq+zlib"", ""bytes"": 15909538}]",[],"[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.05357344, ""val_bpb"": 1.21624186}]","[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.0536, ""val_bpb"": 1.2162, ""eval_time_ms"": 25225}]","[{""allocated_mib"": 10285, ""reserved_mib"": 10360}]",,,,int8_ptq+zlib,int8_ptq_zlib,2.05357344,25225.0,10285.0,10360.0,1.2162418620090891,2.0535734377013157,8.0,20000,2.0541791915893555,1.2073637457839426,2.0385831103443297,1337,0.6,2,17059912,0.02,512,8,20000,9,8.0,1024,True,4,0.1,524288,,partial,32.0,,,,,,,128.0,20260418.0,dense,4.0,dense,0.0
o2_part_lr040_wu1000_20k,o2_part_lr040_wu1000,O10_hpsweep,"Partial RoPE (LR=0.04, warmup=1000)",finished,2026-04-29T09:27:18Z,20000,1.207601240635355,1.207601240635355,1.21649942,1.216499420868997,15907239.0,15.907239,,,,,67224578.0,-0.00790057913100295,41,1.2244,[67224578],[],"[{""method"": ""int8_ptq+zlib"", ""bytes"": 15907239}]",[],"[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.05400832, ""val_bpb"": 1.21649942}]","[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.054, ""val_bpb"": 1.2165, ""eval_time_ms"": 25247}]","[{""allocated_mib"": 10285, ""reserved_mib"": 10360}]",,,,int8_ptq+zlib,int8_ptq_zlib,2.05400832,25247.0,10285.0,10360.0,1.216499420868997,2.0540083150475676,8.0,20000,2.055633544921875,1.207601240635355,2.0389841104526845,1337,0.6,2,17059912,0.04,512,8,20000,9,8.0,1024,True,4,0.1,524288,,partial,32.0,,,,,,,128.0,20260418.0,dense,4.0,dense,0.0
o2_part_lr040_wu2000_20k,o2_part_lr040_wu2000,O10_hpsweep,"Partial RoPE (LR=0.04, warmup=2000)",finished,2026-04-29T13:59:41Z,20000,1.2073200769292893,1.2073200769292893,1.21620481,1.2162048090503172,15903625.0,15.903625,,,,,67224578.0,-0.008195190949682685,41,1.2244,[67224578],[],"[{""method"": ""int8_ptq+zlib"", ""bytes"": 15903625}]",[],"[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.05351088, ""val_bpb"": 1.21620481}]","[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.0535, ""val_bpb"": 1.2162, ""eval_time_ms"": 25221}]","[{""allocated_mib"": 10285, ""reserved_mib"": 10360}]",,,,int8_ptq+zlib,int8_ptq_zlib,2.05351088,25221.0,10285.0,10360.0,1.2162048090503172,2.053510875332514,8.0,20000,2.0564136505126953,1.207320076929289,2.0385093773124616,1337,0.6,2,17059912,0.04,512,8,20000,9,8.0,1024,True,4,0.1,524288,,partial,32.0,,,,,,,128.0,20260418.0,dense,4.0,dense,0.0
o2_part_lr040_wu3000_20k,o2_part_lr040_wu3000,O10_hpsweep,"Partial RoPE (LR=0.04, warmup=3000)",finished,2026-04-29T18:44:10Z,20000,1.207603015544357,1.207603015544357,1.21616318,1.2161631771711727,15905727.0,15.905727,,,,,67224578.0,-0.008236822828827206,41,1.2244,[67224578],[],"[{""method"": ""int8_ptq+zlib"", ""bytes"": 15905727}]",[],"[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.05344058, ""val_bpb"": 1.21616318}]","[{""method"": ""int8_ptq_zlib"", ""val_loss"": 2.0534, ""val_bpb"": 1.2162, ""eval_time_ms"": 25208}]","[{""allocated_mib"": 10285, ""reserved_mib"": 10360}]",,,,int8_ptq+zlib,int8_ptq_zlib,2.05344058,25208.0,10285.0,10360.0,1.2161631771711727,2.0534405816484673,8.0,20000,2.0551204681396484,1.207603015544357,2.0389871073121864,1337,0.6,2,17059912,0.04,512,8,20000,9,8.0,1024,True,4,0.1,524288,,partial,32.0,,,,,,,128.0,20260418.0,dense,4.0,dense,0.0
