step,val/bpb,val/loss,final/val_bpb,final/val_loss
0.0,4.10770780181776,6.935692558482559,,
500.0,1.582152635454112,2.671398451283875,,
1000.0,1.4504550488328742,2.4490325928616126,,
1500.0,1.4041490008952582,2.370846770600463,,
2000.0,1.3806025981747825,2.3310896559256635,,
2500.0,1.3646549106373735,2.3041626535402298,,
3000.0,1.3558708981094134,2.2893312163340998,,
3500.0,1.343387829736,2.2682540782800737,,
4000.0,1.3367968673673623,2.2571255144048217,,
4500.0,1.3315764735020506,2.2483110980366545,,
5000.0,1.3036382811508476,2.201138630534963,,
,,,1.3086720028405314,2.2096378587539625
