step,val/bpb,val/loss,final/val_bpb,final/val_loss
0.0,4.10770780181776,6.935692558482559,,
500.0,1.4797050851550875,2.498420053957444,,
1000.0,1.382482909901362,2.334264483512936,,
1500.0,1.3451402632094243,2.2712129887934958,,
2000.0,1.324295449610533,2.236017394185523,,
2500.0,1.3108781514946266,2.2133628483445906,,
3000.0,1.3002873671723105,2.195480752646285,,
3500.0,1.2917889540189558,2.181131538020905,,
4000.0,1.284739493757071,2.169228819658602,,
4500.0,1.280911272811901,2.16276502895034,,
5000.0,1.253526678593934,2.1165272887073345,,
,,,1.25823955365165,2.1244847808279745
