step,val/bpb,val/loss,final/val_bpb,final/val_loss
0.0,4.10770780181776,6.935692558482559,,
500.0,1.483721314938629,2.5052012897139257,,
1000.0,1.3839349797779614,2.336716242674839,,
1500.0,1.3462552359386983,2.2730955735425655,,
2000.0,1.325465949805288,2.2379937347341063,,
2500.0,1.3108775400853774,2.2133618160056843,,
3000.0,1.3008878605879952,2.1964946606250217,,
3500.0,1.2923738313016078,2.182119078813149,,
4000.0,1.2853412917515277,2.1702449303639484,,
4500.0,1.281336903000472,2.1634836876948182,,
5000.0,1.2537603568282054,2.116921844617518,,
,,,1.2580945144835378,2.124239888268061
