step,val/bpb,val/loss,final/val_bpb,final/val_loss
0.0,4.106944294194635,6.934403407842948,,
500.0,1.4798757072597504,2.498708142234098,,
1000.0,1.3828537783734114,2.3348906793929425,,
1500.0,1.344690264454006,2.270453184744654,,
2000.0,1.3234283975407448,2.2345534130850204,,
2500.0,1.309074172185471,2.2103169048467035,,
3000.0,1.2996598249308704,2.1944211738582897,,
3500.0,1.2913693454943675,2.1804230466038246,,
4000.0,1.2844510835915437,2.1687418511751195,,
4500.0,1.2799080382375938,2.1610711093954107,,
5000.0,1.2742630769926675,2.151539828791169,,
5500.0,1.2718226916772017,2.1474193404095914,,
6000.0,1.2685966238090032,2.141972259948629,,
6500.0,1.265513704257458,2.1367668794240964,,
7000.0,1.2617686474848386,2.1304435079375814,,
7500.0,1.2590395187753602,2.1258354884301824,,
8000.0,1.2563200202697897,2.121243729118689,,
8500.0,1.2542926133758137,2.117820537502834,,
9000.0,1.2532128921609393,2.115997473459202,,
9500.0,1.2522633932035576,2.114394284242558,,
10000.0,1.2499251734093872,2.1104462980641476,,
10500.0,1.248456655011626,2.1079667662632637,,
11000.0,1.245983370723483,2.1037907293444027,,
11500.0,1.2451341924846677,2.1023569274587937,,
12000.0,1.2432283398743411,2.0991389751591782,,
12500.0,1.242773243716718,2.098370564360235,,
13000.0,1.2427873888222616,2.0983944477784306,,
13500.0,1.2399702005257696,2.093637743347026,,
14000.0,1.2391821117590862,2.092307088476178,,
14500.0,1.2383120259658285,2.090837985060675,,
15000.0,1.2362590523101742,2.087371625038674,,
15500.0,1.2357989175981603,2.0865947068516983,,
16000.0,1.2347879490801241,2.084887728856744,,
16500.0,1.2339578458512344,2.0834861343263746,,
17000.0,1.2338501850743615,2.0833043536143516,,
17500.0,1.2332953960387416,2.0823676155668758,,
18000.0,1.233031369276742,2.081921817438871,,
18500.0,1.22581587833124,2.0697387632220225,,
19000.0,1.2197170159995194,2.0594410896458726,,
19500.0,1.213439827605168,2.0488423199827457,,
20000.0,1.208521798185665,2.0405384333157945,,
,,,1.2173705058208262,2.0554791055004658
