step,val/bpb,val/loss,final/val_bpb,final/val_loss
0.0,4.10770780181776,6.935692558482559,,
500.0,1.480569401484616,2.4998794158751134,,
1000.0,1.382848376394953,2.334881558378595,,
1500.0,1.3452493107030208,2.2713971109186195,,
2000.0,1.3243978312008957,2.2361902612122595,,
2500.0,1.310557747002262,2.212821858780432,,
3000.0,1.3011087432484922,2.1968676117448727,,
3500.0,1.2927194982591579,2.1827027229915723,,
4000.0,1.285633269369354,2.1707379223412024,,
4500.0,1.2820556695646657,2.1646972949305514,,
5000.0,1.2544689352369862,2.118118249579601,,
,,,1.258638034458887,2.1251575989793117
