step,val/bpb,val/loss,final/val_bpb,final/val_loss
0.0,4.10770780181776,6.935692558482559,,
500.0,2.7108068642472034,4.577083839196822,,
1000.0,2.164028631798061,3.6538716973157497,,
1500.0,1.9469414335364612,3.2873290564641975,,
2000.0,1.8396096253897802,3.106103794355245,,
2500.0,1.7735036039858385,2.994486546283385,,
3000.0,1.7147272033160836,2.8952450557958653,,
3500.0,1.650656391948833,2.787064174619475,,
4000.0,1.5796860301340616,2.6672336915228674,,
4500.0,1.540357766198743,2.6008295652621047,,
5000.0,1.4878635566496188,2.5121952913314787,,
,,,1.4895352175655594,2.5150178207650145
