step,val/bpb,val/loss,final/val_bpb,final/val_loss
0.0,4.108333539924455,6.93674909106461,,
500.0,1.6082560300438555,2.715472939621897,,
1000.0,1.5132890152943044,2.555125113223853,,
1500.0,1.4786780931294328,2.4966860209410737,,
2000.0,1.4570909036020432,2.460236955674695,,
2500.0,1.4445132688200488,2.439000146201006,,
3000.0,1.4342302126832773,2.4216376366537826,,
3500.0,1.4267547034299821,2.40901555241595,,
4000.0,1.4208494834503023,2.399044835839872,,
4500.0,1.4172236036047716,2.3929226896026274,,
5000.0,1.411645164215839,2.383503728365744,,
5500.0,1.4091517524180222,2.3792937069899054,,
6000.0,1.4069877259482668,2.3756398389431084,,
6500.0,1.4034727170905674,2.36970489372462,,
7000.0,1.4001097614999352,2.364026684078322,,
7500.0,1.3970768798980657,2.3589057905358124,,
8000.0,1.394699406518512,2.3548915263227483,,
8500.0,1.3930498218463405,2.3521062717020804,,
9000.0,1.3918697205009003,2.350113720012741,,
9500.0,1.390969410850927,2.348593584881199,,
10000.0,1.3900802281424247,2.3470922371242433,,
10500.0,1.3873133412422713,2.3424204644935163,,
11000.0,1.3856930274195525,2.3396846324760427,,
11500.0,1.38380026036037,2.336488774581403,,
12000.0,1.3818986772263138,2.3332780311136294,,
12500.0,1.3824089303240732,2.3341395720955624,,
13000.0,1.3841994525682493,2.337162793902925,,
13500.0,1.379307699017023,2.328903272938908,,
14000.0,1.3788869965040684,2.328192934368296,,
14500.0,1.3780276446620958,2.3267419547799113,,
15000.0,1.3756038454777695,2.3226494713859975,,
15500.0,1.374983296143357,2.3216016998285975,,
16000.0,1.3739957939802523,2.3199343437909796,,
16500.0,1.3733226270534493,2.318797729632889,,
17000.0,1.3731956582580305,2.318583348140331,,
17500.0,1.3724732858489466,2.3173636525865433,,
18000.0,1.3723021325799338,2.3170746674611347,,
18500.0,1.3650221027739815,2.3047826420818387,,
19000.0,1.359093724825041,2.2947728242447125,,
19500.0,1.3526925089115802,2.283964639310871,,
20000.0,1.347189212543737,2.2746725539174832,,
,,,1.3601173365494594,2.2965011497640404
