step,val/bpb,val/loss,final/val_bpb,final/val_loss
0.0,4.107581080401094,6.935478456960992,,
500.0,1.433633902294841,2.4206307434749137,,
1000.0,1.3334342939620254,2.251447905355425,,
1500.0,1.2944522837557926,2.1856284153192207,,
2000.0,1.2729029480099538,2.149243265299859,,
2500.0,1.2573038574906212,2.1229048549003133,,
3000.0,1.2467688845502878,2.105116994735855,,
3500.0,1.238126568182309,2.0905248058501993,,
4000.0,1.2309468930179712,2.0784022253203025,,
4500.0,1.2264323232579555,2.0707795635395203,,
5000.0,1.2206238200695452,2.0609721494089452,,
5500.0,1.2177503762786712,2.056120460028063,,
6000.0,1.2148146257958208,2.051163568409789,,
6500.0,1.210850812125717,2.0444708351981227,,
7000.0,1.207294684778374,2.038466463251483,,
7500.0,1.2044268414381434,2.033624229996731,,
8000.0,1.20167714386407,2.0289814809152493,,
8500.0,1.2001874405174928,2.026466179265637,,
9000.0,1.1985108724317948,2.0236353643377303,,
9500.0,1.1968902618712627,2.0208990313452246,,
10000.0,1.1950641452101598,2.017815709917096,,
10500.0,1.1932081944740038,2.014682014903939,,
11000.0,1.1907335543569482,2.010503688807721,,
11500.0,1.1897229316645688,2.0087972947587867,,
12000.0,1.1877829277097147,2.0055216794095223,,
12500.0,1.1876045564900497,2.0052205070827647,,
13000.0,1.186732805707391,2.0037485924316294,,
13500.0,1.1844591490677663,1.9999096185114595,,
14000.0,1.1837028524293267,1.9986326433427897,,
14500.0,1.1827639050980583,1.997047270136329,,
15000.0,1.1808289411571173,1.9937801646392705,,
15500.0,1.179804378214215,1.9920502330617285,,
16000.0,1.1790381855377108,1.9907565488476464,,
16500.0,1.1782720591087108,1.9894629764896987,,
17000.0,1.177990892781293,1.9889882389328593,,
17500.0,1.1774057852900042,1.988000309462592,,
18000.0,1.1769588708207195,1.9872457131166752,,
18500.0,1.169873589099679,1.9752825119586401,,
19000.0,1.1636365314193966,1.9647515015343255,,
19500.0,1.1572245829939924,1.953925195418612,,
20000.0,1.1523587785883067,1.945709488663014,,
,,,1.1598792493619816,1.9584074882925022
