step,val/bpb,val/loss,final/val_bpb,final/val_loss
0.0,4.1073620006120315,6.93510868763171,,
500.0,1.5588538672811225,2.6320594571695164,,
1000.0,1.4240262331809603,2.40440864469145,,
1500.0,1.3776675365135076,2.3261339272553374,,
2000.0,1.3525211582242618,2.283675320852922,,
2500.0,1.3364133543507388,2.2564779687409606,,
3000.0,1.3248428618971368,2.2369416769012846,,
3500.0,1.3143489741162355,2.2192231869543266,,
4000.0,1.306567289511786,2.2060841384612337,,
4500.0,1.3017167774279856,2.1978942519874307,,
5000.0,1.2728706492005506,2.1491887727906094,,
,,,1.279101020659638,2.159708494019625
