step,val/bpb,val/loss,final/val_bpb,final/val_loss
0.0,4.10770780181776,6.935692558482559,,
500.0,1.9657408841838608,3.319071141405349,,
1000.0,1.714984951434589,2.895680252697332,,
1500.0,1.6180652489642806,2.7320353948775535,,
2000.0,1.5583096810632866,2.6311406215357347,,
2500.0,1.5198633992905193,2.5662256852117085,,
3000.0,1.4930459278424757,2.520945508009911,,
3500.0,1.4687743204363173,2.479963915600926,,
4000.0,1.4502775083029977,2.4487328231137866,,
4500.0,1.437574868268384,2.4272849475073066,,
5000.0,1.4065493650532688,2.3748996849340958,,
,,,1.4409220880720262,2.4329365879364175
