step,val/bpb,val/loss,final/val_bpb,final/val_loss
0.0,4.107881547719742,6.935985921160136,,
500.0,1.4815885459041411,2.501600198537257,,
1000.0,1.384545756673099,2.3377475138778747,,
1500.0,1.3458768626615074,2.272456706113441,,
2000.0,1.3243683900233674,2.236140551017244,,
2500.0,1.3099008600263795,2.2117127326375314,,
3000.0,1.3001931365520318,2.195321648191105,,
3500.0,1.2921721552228302,2.1817785572020005,,
4000.0,1.285480605378453,2.170480155587401,,
4500.0,1.2810011979273015,2.1629168637408838,,
5000.0,1.2754553069793173,2.1535528591831428,,
5500.0,1.272796182810422,2.1490630394101475,,
6000.0,1.2695993701576753,2.1436653551550244,,
6500.0,1.2665181986766871,2.1384629261744035,,
7000.0,1.2629253383670156,2.132396532040325,,
7500.0,1.2602184419195852,2.1278260507761226,,
8000.0,1.2574437115630965,2.1231410347979223,,
8500.0,1.25522454880426,2.119394071436577,,
9000.0,1.2543015835759146,2.117835683309958,,
9500.0,1.2530657877194518,2.115749093771705,,
10000.0,1.2510548687696834,2.1123537413589926,,
10500.0,1.2495653794981467,2.1098388011161724,,
11000.0,1.247153171132358,2.10576588833384,,
11500.0,1.2462255131953468,2.1041995767652084,,
12000.0,1.2441869212954173,2.1007574997353218,,
12500.0,1.2438169830533894,2.1001328745097405,,
13000.0,1.2435780016663798,2.0997293644482986,,
13500.0,1.2411330645767242,2.095601190586667,,
14000.0,1.240310649984202,2.094212577996741,,
14500.0,1.2395302777973893,2.09289495224777,,
15000.0,1.2374641425794135,2.0894063694791045,,
15500.0,1.2367525569965223,2.0882048870295016,,
16000.0,1.2357591122533242,2.0865274971943206,,
16500.0,1.2350173236839186,2.0852750182671396,,
17000.0,1.2346831877459035,2.0847108437321866,,
17500.0,1.2342538238195113,2.083985880727797,,
18000.0,1.2338431210752951,2.083292426347827,,
18500.0,1.2268708061895328,2.071519964721618,,
19000.0,1.220745735980885,2.06117804024308,,
19500.0,1.2143708448146828,2.0504143035422855,,
20000.0,1.2094502293132898,2.0421060503843895,,
,,,1.2171537464472715,2.0551131163778997
