step,val/bpb,val/loss,final/val_bpb,final/val_loss
0.0,4.106944294194635,6.934403407842948,,
500.0,1.4874386651570786,2.5114778798443056,,
1000.0,1.3860423011358805,2.3402743665155814,,
1500.0,1.34605643711283,2.2727599100524314,,
2000.0,1.3242572388358278,2.235952876893017,,
2500.0,1.309183798747897,2.21050200470529,,
3000.0,1.299396571797777,2.193976681970287,,
3500.0,1.2913724974729874,2.180428368587693,,
4000.0,1.2844859622585791,2.1688007423434006,,
4500.0,1.279511680455814,2.160401875883628,,
5000.0,1.2743506573996648,2.15168770463979,,
5500.0,1.2714278338642295,2.1467526395323095,,
6000.0,1.2686807983492328,2.1421143851338784,,
6500.0,1.2646868675881386,2.135370800342731,,
7000.0,1.2614328668760861,2.1298765564449806,,
7500.0,1.2588375278763986,2.1254944352583407,,
8000.0,1.2559877433044193,2.1206826933811778,,
8500.0,1.2535125400068319,2.1165034162952536,,
9000.0,1.2527199636665411,2.115165184344346,,
9500.0,1.2513956032350586,2.112929057230992,,
10000.0,1.249400661842096,2.109560682253673,,
10500.0,1.247897609308146,2.1070228410104104,,
11000.0,1.2452530095966114,2.102557545175264,,
11500.0,1.2445227669533618,2.1013245610607583,,
12000.0,1.242436492247261,2.0978019736100024,,
12500.0,1.2420704763675265,2.097183971128853,,
13000.0,1.2418532866929382,2.096817255461016,,
13500.0,1.2391778585089779,2.0922999070415313,,
14000.0,1.2382294159446905,2.0906985015003765,,
14500.0,1.2373185749699631,2.089160584668127,,
15000.0,1.235416299281859,2.085948671851853,,
15500.0,1.2347530297917308,2.084828769101002,,
16000.0,1.2338032861317012,2.0832251667141866,,
16500.0,1.2331056751351077,2.0820472797681755,,
17000.0,1.2327898249068097,2.081513979888123,,
17500.0,1.2322370182092939,2.080580588935499,,
18000.0,1.2323498695256094,2.080771133655948,,
18500.0,1.2248833873385858,2.068164291241386,,
19000.0,1.2188847799068958,2.0580358938644308,,
19500.0,1.2124963725015119,2.0472493355599504,,
20000.0,1.207601240635355,2.0389841104526845,,
,,,1.216499420868997,2.0540083150475676
